11.5380004,Comcast Corp
0,Companhia De Saneamento Basico Do Estado De Sao Paulo
0,Companhia Siderurgica Nacional
47.082,Compass Group PLC
0,Constellation Software Inc
39.123999999999995,Continental Resources Inc
10.715999499999999,Corteva Inc
0,Cosan SA
2.595,Costco Wholesale Corp
0,CPFL Energia S.A.
-49.096000000000004,Credit Suisse Group AG
2.661,CVS Health Corp
-69.67999999999999,Daily Journal Corp
12.763,Deere & Co
0.174,Delta Air Lines Inc
15.028,Deutsche Bank AG
21.025999000000002,Diageo PLC
31.945,Digital Realty Trust Inc
40.974,Discover Financial Services
0,discoverIE Group PLC
6.550000000000001,Dollar General Corp
5.7690002,Dollar Tree Inc
0,Dollarama Inc
15.089,Dominion Energy Inc
0,Dominos Pizza Inc
4.816,Douglas Dynamics Inc
0,Dr Reddy's Laboratories Ltd
16.657,Dropbox Inc
4.414,DXC Technology Co
11.18,Eastman Chemical Co
0,easyJet PLC
0,eClerx Services Ltd
0,Embraer SA
10.205,Enbridge Inc
0.294,Endeavor Group Holdings
0,Endo International PLC
4.861,Energy Transfer LP
-77.68,Enghouse Systems Ltd
0,ENGIE Brasil Energia SA
0,Equatorial Energia SA
17.014000000000003,ETSY Inc
0,Experian PLC
48.818,Extra Space Storage Inc
10.8710006,Exxon Mobil Corp
28.163,Facebook Inc
31.520998,Fair Isaac Corp
0,Fairfax Financial Holdings Ltd
7.428,Ferguson PLC
10.516,FirstEnergy Corp
12.8,FMC Corp
5.564,Foot Locker Inc
5.939,Ford Motor Co
17.663999,Fortinet Inc
12.918,Fortis Inc
0,Foxconn Industrial Internet Co Ltd
20.252001,Franklin Resources Inc
16.721000999999998,Freeport-McMoRan Inc
7.718999999999999,FTI Consulting Inc
17.817,Fuwei Films (Holdings) Co Ltd
0,GAIL (India) Ltd
-2.398,Gap Inc
19.542,Garmin Ltd
8.623,General Dynamics Corp
-7.779,General Electric Co
15.129000000000001,General Mills Inc
6.5729999999999995,General Motors Co
38.805,Genmab A/S
5.8819998,Gibraltar Industries Inc
12.286,Gilead Sciences Inc
32.209998,Glacier Bancorp Inc
12.2370005,GlaxoSmithKline PLC
0,Glencore PLC
14.766000000000002,Globus Medical Inc
0,Godrej Agrovet Ltd
0,Godrej Consumer Products Ltd
51.499003,Gogo Inc
32.818999999999996,Goldman Sachs Group Inc
0,Granules India Ltd
-18.215,Great Elm Group Inc
0,Great-West Lifeco Inc
8.085,Groupon Inc
0,Grupo Aeroportuario del Pacifico SAB de CV Class B
0,Gujarat Industries Power Co Ltd
16.063,H&R Block Inc
0,Hangzhou Hik-Vision Digital Technology Co Ltd
11.651000400000001,Harley-Davidson Inc
-5.3850003,Harvard Bioscience Inc
8.304,Hasbro Inc
0,HCL Technologies Ltd
0,HDFC Bank Ltd
21.643,Heartland Express Inc
0,Hero MotoCorp Ltd
16.186,Hess Corp
8.014000000000001,Hibbett Inc
0,Hindalco Industries Ltd
0,Hindustan Unilever Ltd
10.828,Home Depot Inc
4.859,Honda Motor Co Ltd
0,Hostelworld Group PLC
0,Housing Development Finance Corp Ltd
0,HSBC Holdings PLC
0,Huaneng Power International Inc
0.449,Hyatt Hotels Corp
0,Hypera SA
0,ICICI Bank Ltd
15.055999,Illumina Inc
-4.926,Imax Corp
0,Infosys Ltd
6.571000000000001,Innospec Inc
26.031,INTEL Corp
56.14,Intercontinental Exchange Inc
11.4750005,InterContinental Hotels Group PLC
8.206,IQVIA Holdings Inc
0,IRB Brasil Resseguros SA
9.594999999999999,Iron Mountain Inc
0,ITC Ltd
4.981,J&J Snack Foods Corp
0,JBS SA
-2.6989998,JetBlue Airways Corp
0,Jiangsu Hengrui Pharmaceuticals Co Ltd
19.214001,Johnson & Johnson
0,Johnson Matthey PLC
32.358003000000004,JPMorgan Chase & Co
0,Jubilant Foodworks Ltd
0,Just Dial Ltd
-0.182,Kaiser Aluminum Corp
10.807,Kellogg Co
16.394000000000002,Keurig Dr Pepper Inc
31.298,KeyCorp
13.757,Kinder Morgan Inc
0,Kirkland Lake Gold Ltd
14.549999999999999,KKR & Co Inc
0,Klabin SA
0,Kotak Mahindra Bank Ltd
0,Kweichow Moutai Co Ltd
0,Lamprell PLC
1.752,Lands' End Inc
0,Larsen & Toubro Ltd
45.393001999999996,Las Vegas Sands Corp
17.302,Lazard Ltd
8.008,LCI Industries Inc
0,Lloyds Banking Group PLC
0,Localiza Rent A Car SA
7.332,Lockheed Martin Corp
11.464,Loews Corp
0,Lojas Renner SA
0,Lookers PLC
8.854,Lowe's Companies Inc
15.357999999999999,Lululemon Athletica Inc
-22.416,Lyft Inc
0,M Dias Branco SA Industria e Comercio de Alimentos
29.610999999999997,M&T Bank Corp
6.2119998,Macy's Inc
0,Magazine Luiza SA
0,Mahindra & Mahindra Ltd
16.675,Manhattan Associates Inc
37.818000000000005,Marriott International Inc
0,Maruti Suzuki India Ltd
46.484002000000004,Mastercard Inc
9.119,Match Group Inc
19.004999,Mattel Inc
0,Max Financial Services Ltd
10.778,McCormick & Co Inc
25.773000000000003,McDonald's Corp
0.422,McKesson Corp
11.7060006,Mediclinic International PLC
0,Meituan
28.999999999999996,Merck & Co Inc
