Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Aviva PLC,AV.,London Stock Exchange,Financials,Insurance,Insurance,Multi-line Insurance
Axis Bank Ltd,532215,BSE LTD,Financials,Banks,Banks,Diversified Banks
B3 SA - Brasil Bolsa Balcao,B3SA3,B3 S.A.,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
Baidu Inc,BIDU,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Bajaj Auto Ltd,532977,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Motorcycle Manufacturers
Bajaj Finserv Ltd,532978,BSE LTD,Financials,Diversified Financials,Diversified Financial Services,Other Diversified Financial Services
Banco BTG Pactual S.A.,BPAC11,B3 S.A.,Financials,Diversified Financials,Capital Markets,Diversified Capital Markets
Banco do Brasil SA BB Brasil,BBAS3,B3 S.A.,Financials,Banks,Banks,Diversified Banks
Banco Santander (Brasil) SA,SANB11,B3 S.A.,Financials,Banks,Banks,Diversified Banks
Bank Bradesco SA,BBDC3,B3 S.A.,Financials,Banks,Banks,Diversified Banks
Bank of America Corp,BAC,New York Stock Exchange Inc.,Financials,Banks,Commercial Banks,Diversified Banks
Bank Of Ningbo Co Ltd,002142,Shenzhen Stock Exchange,Financials,Banks,Banks,Regional Banks
Bank of Nova Scotia,BNS,Toronto Stock Exchange,Financials,Banks,Banks,Diversified Banks
Bank OZK,OZK,Nasdaq,Financials,Banks,Banks,Regional Banks
Barclays PLC,BCS,New York Stock Exchange Inc.,Financials,Banks,Banks,Diversified Banks
Barnes & Noble Education Inc,BNED,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
Bata India Ltd,500043,BSE LTD,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Footwear
Baxter International Inc,BAX,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment
BB Seguridade Participacoes SA,BBSE3,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance
BCE Inc,BCE,Toronto Stock Exchange,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
Beacon Roofing Supply Inc,BECN,Nasdaq,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
Bed Bath & Beyond Inc,BBBY,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
Benefitfocus Inc,BNFT,Nasdaq,Information Technology,Software and Services,Software,Application Software
Berger Paints India Ltd,509480,BSE LTD,Materials,Materials,Chemicals,Commodity Chemicals
Best Buy Co Inc,BBY,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail
Bharat Heavy Electricals Ltd,500103,BSE LTD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Bharti Airtel Ltd,532454,BSE LTD,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
BHP Group PLC,BHP,London Stock Exchange,Materials,Materials,Metals and Mining,Diversified Metals and Mining
Bill.com Holdings Inc,BILL,New York Stock Exchange Inc.,Information Technology,Software & Services,Software,Application Software
Blackrock Inc,BLK,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
Blackstone Inc,BX,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
Boeing Co,BA,New York Stock Exchange Inc.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
Bombardier Inc,BBD.B,Toronto Stock Exchange,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
BorgWarner Inc,BWA,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment
Bosch Ltd,500530,BSE LTD,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment
Boyd Group Services Inc,BYD,Toronto Stock Exchange,Industrials,Commercial Services and Supplies,Commercial Services and Supplies,Diversified Support Services
BP PLC,BP,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
BR Malls Participacoes SA,BRML3,B3 S.A.,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies
BRF SA,BRFS3,B3 S.A.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
Bristol-Myers Squibb Co,BMY,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Broadcom Inc,AVGO,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Brookfield Asset Management,BAM,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
BT Group PLC,BT.A,London Stock Exchange,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
Build-A-Bear Workshop Inc,BBW,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
Bunzl PLC,BNZL,London Stock Exchange,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
Burlington Stores Inc,BURL,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
Caesars Entertainment Inc,CZR,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
Cameco Corp,CCJ,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Coal and Consumable Fuels
Campbell Soup Co,CPB,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
Canada Goose Holdings Inc,GOOS,Toronto Stock Exchange,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Canadian National Railway Co,CNI,New York Stock Exchange Inc.,Industrials,Transportation,Road & Rails,Railroads
Canadian Natural Resources Ltd,CNQ,Toronto Stock Exchange,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production
Canadian Pacific Railway Ltd,CP,New York Stock Exchange Inc.,Industrials,Transportation,Road & Rails,Railroads
Canadian Utilities Ltd,CU,Toronto Stock Exchange,Utilities,Utilities,Multi-Utilities,Multi-Utilities
Canadian Western Bank,CWB,Toronto Stock Exchange,Financials,Banks,Banks,Regional Banks
Carclo PLC,CAR,London Stock Exchange,Materials,Materials,Chemicals,Specialty Chemicals
Cardiovascular Systems Inc,CSII,Nasdaq,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment
Cargojet Inc,CJT,Toronto Stock Exchange,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
CarMax Inc,KMX,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
Carnival PLC,CCL,London Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
Casey's General Stores Inc,CASY,Nasdaq,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
Catalyst Pharmaceuticals Inc,CPRX,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology
Caterpillar Inc,CAT,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Construction & Farm Machinery & Heavy Trucks
CCR SA,CCRO3,B3 S.A.,Industrials,Transportation,Transportation Infrastructure,Highways and Railtracks
Centene Corp,CNC,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
Centrais Eletricas Brasileiras SA,ELET3,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities
Cheesecake Factory Inc,CAKE,Nasdaq,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
Chevron Corp,CVX,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
China Automotive Systems Inc,CAAS,Nasdaq,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment
China Construction Bank Corp,00939,Hong Kong Exchanges And Clearing Ltd,Financials,Banks,Banks,Diversified Banks
China Eastern Airlines Corp Ltd,CEA,New York Stock Exchange Inc.,Industrials,Transportation,Airlines,Airlines
China Finance Online Co Ltd,JRJC,Nasdaq,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage
China Gas Holdings Ltd,00384,Hong Kong Exchanges And Clearing Ltd,Utilities,Utilities,Gas Utilities,Gas Utilities
China Mobile Ltd,00941,Hong Kong Exchanges And Clearing Ltd,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
China Natural Resources Inc,CHNR,Nasdaq,Materials,Materials,Metals and Mining,Diversified Metals and Mining
China Petroleum & Chemical Corp,SNP,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
China Southern Airlines Co Ltd,ZNH,New York Stock Exchange Inc.,Industrials,Transportation,Airlines,Airlines
China State Construction International Holdings Ltd,03311,Hong Kong Exchanges And Clearing Ltd,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
China Tourism Group Duty Free Corp Ltd,601888,Shanghai Stock Exchange,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
China Vanke Co Ltd,000002,Shenzhen Stock Exchange,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Development
China World Trade Center Co Ltd,600007,Shanghai Stock Exchange,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies
China Yangtze Power Co Ltd,600900,Shanghai Stock Exchange,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity
China Yuchai International Ltd,CYD,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks
Chipotle Mexican Grill Inc,CMG,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
Cielo SA,CIEL3,B3 S.A.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Cipla Ltd,500087,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
CISCO Systems Inc,CSCO,Nasdaq,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
CITIC Ltd,00267,Hong Kong Exchanges And Clearing Ltd,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
Citigroup Inc,C,New York Stock Exchange Inc.,Financials,Banks,Banks,Diversified Banks
City of London Investment Group PLC,CLIG,London Stock Exchange,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
Clearwater Paper Corp,CLW,New York Stock Exchange Inc.,Materials,Materials,Paper and Forest Products,Paper Products
Coal India Ltd,533278,BSE LTD,Energy,Energy,Oil Gas and Consumable Fuels,Coal and Consumable Fuels
Coca-Cola Co,KO,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Beverages,Soft Drinks
Cognizant Technology Solutions Corp,CTSH,Nasdaq,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Colgate-Palmolive Co,CL,New York Stock Exchange Inc.,Consumer Staples,Household and Personal Products,Household Products,Household Products
Comcast Corp,CMCSA,Nasdaq,Communication Services,Media & Entertainment,Media,Cable & Satellite
Companhia De Saneamento Basico Do Estado De Sao Paulo,SBSP3,B3 S.A.,Utilities,Utilities,Water Utilities,Water Utilities
Companhia Siderurgica Nacional,CSNA3,B3 S.A.,Materials,Materials,Metals and Mining,Steel
Compass Group PLC,CPG,London Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
Constellation Software Inc,CSU,Toronto Stock Exchange,Information Technology,Software and Services,Software,Application Software
Continental Resources Inc,CLR,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production
Corteva Inc,CTVA,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Fertilizers and Agricultural Chemicals
Cosan SA,CSAN3,B3 S.A.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Refining and Marketing
Costco Wholesale Corp,COST,Nasdaq,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers
CPFL Energia S.A.,CPFE3,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities
Credit Suisse Group AG,CS,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Diversified Capital Markets
CVS Health Corp,CVS,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
Daily Journal Corp,DJCO,Nasdaq,Communication Services,Media & Entertainment,Media,Publishing
Deere & Co,DE,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
Delta Air Lines Inc,DAL,New York Stock Exchange Inc.,Industrials,Transportation,Airlines,Airlines
Deutsche Bank AG,DB,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Diversified Capital Markets
Diageo PLC,DEO,New York Stock Exchange Inc.,Consumer Staples,Food Beverage & Tobacco,Beverages,Distillers & Vintners
Digital Realty Trust Inc,DLR,New York Stock Exchange Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
Discover Financial Services,DFS,New York Stock Exchange Inc.,Financials,Diversified Financials,Consumer Finance,Consumer Finance
discoverIE Group PLC,DSCV,London Stock Exchange,Industrials,Capital Goods,Electrical Equipment,Electrical Components and Equipment
Dollar General Corp,DG,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
Dollar Tree Inc,DLTR,Nasdaq,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
Dollarama Inc,DOL,Toronto Stock Exchange,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
Dominion Energy Inc,D,New York Stock Exchange Inc.,Utilities,Utilities,Multi-Utilities,Multi-Utilities
Dominos Pizza Inc,DOM,London Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
Douglas Dynamics Inc,PLOW,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks
Dr Reddy's Laboratories Ltd,500124,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Dropbox Inc,DBX,Nasdaq,Information Technology,Software & Services,Software,Application Software
DXC Technology Co,DXC,New York Stock Exchange Inc.,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Eastman Chemical Co,EMN,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Diversified Chemicals
easyJet PLC,EZJ,London Stock Exchange,Industrials,Transportation,Airlines,Airlines
eClerx Services Ltd,532927,BSE LTD,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Embraer SA,EMBR3,B3 S.A.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
Enbridge Inc,ENB,New York Stock Exchange Inc.,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
Endeavor Group Holdings,EDR,New York Stock Exchange Inc.,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
Endo International PLC,ENDP,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Energy Transfer LP,ET,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Storage and Transportation
Enghouse Systems Ltd,ENGH,Toronto Stock Exchange,Information Technology,Software and Services,Software,Application Software
ENGIE Brasil Energia SA,EGIE3,B3 S.A.,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity
Equatorial Energia SA,EQTL3,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities
ETSY Inc,ETSY,Nasdaq,Consumer Discretionary,Retailing,Internet & Catalog Retail,Internet Retail
Experian PLC,EXPN,London Stock Exchange,Industrials,Commercial Services and Supplies,Professional Services,Research and Consulting Services
Extra Space Storage Inc,EXR,New York Stock Exchange Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
Exxon Mobil Corp,XOM,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Integrated Oil and Gas
Facebook Inc,FB,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Fair Isaac Corp,FICO,New York Stock Exchange Inc.,Information Technology,Software and Services,Software,Application Software
Fairfax Financial Holdings Ltd,FFH,Toronto Stock Exchange,Financials,Insurance,Insurance,Multi-line Insurance
Ferguson PLC,FERG,London Stock Exchange,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
FirstEnergy Corp,FE,New York Stock Exchange Inc.,Utilities,Utilities,Electric Utilities,Electric Utilities
FMC Corp,FMC,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Fertilizers and Agricultural Chemicals
Foot Locker Inc,FL,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
Ford Motor Co,F,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Fortinet Inc,FTNT,Nasdaq,Information Technology,Software & Services,Software,Systems Software
Fortis Inc,FTS,New York Stock Exchange Inc.,Utilities,Utilities,Electric Utilities,Electric Utilities
Foxconn Industrial Internet Co Ltd,601138,Shanghai Stock Exchange,Information Technology,Technology Hardware and Equipment,Electronic Equipment Instruments and Components,Electronic Manufacturing Services
Franklin Resources Inc,BEN,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
Freeport-McMoRan Inc,FCX,New York Stock Exchange Inc.,Materials,Materials,Metals and Mining,Copper
FTI Consulting Inc,FCN,New York Stock Exchange Inc.,Industrials,Commercial Services and Supplies,Professional Services,Research and Consulting Services
Fuwei Films (Holdings) Co Ltd,FFHL,Nasdaq,Materials,Materials,Chemicals,Commodity Chemicals
GAIL (India) Ltd,532155,BSE LTD,Utilities,Utilities,Gas Utilities,Gas Utilities
Gap Inc,GPS,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
Garmin Ltd,GRMN,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
General Dynamics Corp,GD,New York Stock Exchange Inc.,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
General Electric Co,GE,New York Stock Exchange Inc.,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
General Mills Inc,GIS,New York Stock Exchange Inc.,Consumer Staples,Food Beverage and Tobacco,Food Products,Packaged Foods and Meats
General Motors Co,GM,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Genmab A/S,GMAB,Nasdaq,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
Gibraltar Industries Inc,ROCK,Nasdaq,Industrials,Capital Goods,Building Products,Building Products
Gilead Sciences Inc,GILD,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology
Glacier Bancorp Inc,GBCI,Nasdaq,Financials,Banks,Banks,Regional Banks
GlaxoSmithKline PLC,GSK,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Glencore PLC,GLEN,London Stock Exchange,Materials,Materials,Metals and Mining,Diversified Metals and Mining
Globus Medical Inc,GMED,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment
Godrej Agrovet Ltd,540743,BSE LTD,Consumer Staples,Food Beverage and Tobacco,Food Products,Agricultural Products
Godrej Consumer Products Ltd,532424,BSE LTD,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
Gogo Inc,GOGO,Nasdaq,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Goldman Sachs Group Inc,GS,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
Granules India Ltd,532482,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Great Elm Group Inc,GEG,Nasdaq,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Distributors
Great-West Lifeco Inc,GWO,Toronto Stock Exchange,Financials,Insurance,Insurance,Life and Health Insurance
Groupon Inc,GRPN,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB,BMV,Industrials,Transportation,Transportation Infrastructure,Airport Services
Gujarat Industries Power Co Ltd,517300,BSE LTD,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers and Energy Traders
H&R Block Inc,HRB,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
Hangzhou Hik-Vision Digital Technology Co Ltd,002415,Shenzhen Stock Exchange,Information Technology,Technology Hardware and Equipment,Electronic Equipment Instruments and Components,Electronic Equipment and Instruments
Harley-Davidson Inc,HOG,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Automobiles,Motorcycle Manufacturers
Harvard Bioscience Inc,HBIO,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Life Sciences Tools and Services,Life Sciences Tools and Services
Hasbro Inc,HAS,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products
HCL Technologies Ltd,532281,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
HDFC Bank Ltd,500180,BSE LTD,Financials,Banks,Banks,Diversified Banks
Heartland Express Inc,HTLD,Nasdaq,Industrials,Transportation,Road and Rail,Trucking
Hero MotoCorp Ltd,500182,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Motorcycle Manufacturers
Hess Corp,HES,New York Stock Exchange Inc.,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production
Hibbett Inc,HIBB,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
Hindalco Industries Ltd,500440,BSE LTD,Materials,Materials,Metals and Mining,Aluminum
Hindustan Unilever Ltd,500696,BSE LTD,Consumer Staples,Household and Personal Products,Household Products,Household Products
Home Depot Inc,HD,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
Honda Motor Co Ltd,HMC,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers
Hostelworld Group PLC,HSW,London Stock Exchange,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
